ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-08-26,108.60966,13.834097225484808,250.4948427706115,108.60966,108.60966,23.75945494844502,23.75945494844502,23.75945494844502,23.75945494844502,23.75945494844502,23.75945494844502,0.0,0.0,0.0,132.36911494844503
2022-08-27,109.25256946153849,-47.66243542375409,195.3805906199432,109.25256946153849,109.25256946153849,-27.629121137404105,-27.629121137404105,-27.629121137404105,-27.629121137404105,-27.629121137404105,-27.629121137404105,0.0,0.0,0.0,81.62344832413439
2022-08-28,109.89547892129038,14.900124831601833,260.9325011020817,109.89547892129038,109.89547892129038,26.474015446270183,26.474015446270183,26.474015446270183,26.474015446270183,26.474015446270183,26.474015446270183,0.0,0.0,0.0,136.36949436756055
2022-08-29,110.53838838237682,2.8028025211525924,233.7724289947538,110.53838838237682,110.53838838237682,7.708022659196558,7.708022659196558,7.708022659196558,7.708022659196558,7.708022659196558,7.708022659196558,0.0,0.0,0.0,118.24641104157338
2022-08-30,111.18129783922248,-16.642087957766464,227.3137762902478,111.18129783922248,111.18129783922248,-5.058481029223372,-5.058481029223372,-5.058481029223372,-5.058481029223372,-5.058481029223372,-5.058481029223372,0.0,0.0,0.0,106.12281680999911
2022-08-31,111.82420729643279,-16.084963102574836,234.80195703191308,111.82420729643279,111.82420729643279,-5.450970387188622,-5.450970387188622,-5.450970387188622,-5.450970387188622,-5.450970387188622,-5.450970387188622,0.0,0.0,0.0,106.37323690924417
2022-09-01,112.46711675753004,-33.399283523307474,218.14880856250448,112.46711675753004,112.46711675753004,-19.80292050005821,-19.80292050005821,-19.80292050005821,-19.80292050005821,-19.80292050005821,-19.80292050005821,0.0,0.0,0.0,92.66419625747183
2022-09-02,113.11002622651246,27.555603067756053,262.08182224001393,113.11002622651246,113.11002622651246,23.759454948413364,23.759454948413364,23.759454948413364,23.759454948413364,23.759454948413364,23.759454948413364,0.0,0.0,0.0,136.86948117492582
2022-09-03,113.7529357010785,-37.186386901207456,207.93841450715186,113.7529357010785,113.7529357010785,-27.629121137444574,-27.629121137444574,-27.629121137444574,-27.629121137444574,-27.629121137444574,-27.629121137444574,0.0,0.0,0.0,86.12381456363393
2022-09-04,114.39584517275185,26.29819157717655,259.03459243406195,114.39584517275185,114.39584517275185,26.474015446260218,26.474015446260218,26.474015446260218,26.474015446260218,26.474015446260218,26.474015446260218,0.0,0.0,0.0,140.86986061901206
2022-09-05,115.03875463982453,5.843383720541081,246.52843747828985,115.03875463982453,115.03875463982453,7.708022659072042,7.708022659072042,7.708022659072042,7.708022659072042,7.708022659072042,7.708022659072042,0.0,0.0,0.0,122.74677729889657
2022-09-06,115.68166410094365,-18.51760566967489,227.52074215930213,115.68166410094365,115.68166410094365,-5.058481029112684,-5.058481029112684,-5.058481029112684,-5.058481029112684,-5.058481029112684,-5.058481029112684,0.0,0.0,0.0,110.62318307183097
2022-09-07,116.32457356777886,-11.62673134461003,236.33347095716763,116.32457356777886,116.32457356777886,-5.450970387001395,-5.450970387001395,-5.450970387001395,-5.450970387001395,-5.450970387001395,-5.450970387001395,0.0,0.0,0.0,110.87360318077747
2022-09-08,116.9674830395146,-20.284745514175256,220.72546177765616,116.9674830395146,116.9674830395146,-19.802920500129005,-19.802920500129005,-19.802920500129005,-19.802920500129005,-19.802920500129005,-19.802920500129005,0.0,0.0,0.0,97.1645625393856
2022-09-09,117.61039251060308,14.875541954388007,255.02154118134052,117.61039251060308,117.61039251060308,23.759454948447853,23.759454948447853,23.759454948447853,23.759454948447853,23.759454948447853,23.759454948447853,0.0,0.0,0.0,141.36984745905093
2022-09-10,118.25330197903114,-23.748695214238175,215.1092692804255,118.25330197903114,118.25330197903114,-27.629121137433263,-27.629121137433263,-27.629121137433263,-27.629121137433263,-27.629121137433263,-27.629121137433263,0.0,0.0,0.0,90.62418084159788
2022-09-11,118.89621144118858,28.761443200075593,269.409552432037,118.89621144118858,118.89621144118858,26.474015446358056,26.474015446358056,26.474015446358056,26.474015446358056,26.474015446358056,26.474015446358056,0.0,0.0,0.0,145.37022688754664
2022-09-12,119.53912089210122,2.920112529250726,247.82468452278778,119.53912089210122,119.53912089210122,7.7080226591003,7.7080226591003,7.7080226591003,7.7080226591003,7.7080226591003,7.7080226591003,0.0,0.0,0.0,127.24714355120152
2022-09-13,120.18203034109338,-3.4301590072524313,240.37186353519309,120.18203034109338,120.18203034109338,-5.058481029001993,-5.058481029001993,-5.058481029001993,-5.058481029001993,-5.058481029001993,-5.058481029001993,0.0,0.0,0.0,115.12354931209138
2022-09-14,120.82493978823834,1.5772083359045963,241.75860072938627,120.82493978823834,120.82493978823834,-5.450970387135709,-5.450970387135709,-5.450970387135709,-5.450970387135709,-5.450970387135709,-5.450970387135709,0.0,0.0,0.0,115.37396940110263
2022-09-15,121.46784923875491,-15.664027035018096,229.67576291625474,121.46784923875491,121.46784923875491,-19.802920500141408,-19.802920500141408,-19.802920500141408,-19.802920500141408,-19.802920500141408,-19.802920500141408,0.0,0.0,0.0,101.6649287386135
2022-09-16,122.11075869064592,29.56627152487859,261.2911268780322,122.11075869064592,122.11075869064592,23.7594549484162,23.7594549484162,23.7594549484162,23.7594549484162,23.7594549484162,23.7594549484162,0.0,0.0,0.0,145.87021363906211
