ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-08-26,40.303505,33.97680098286868,74.25580872430812,40.303505,40.303505,14.424320522614378,14.424320522614378,14.424320522614378,14.424320522614378,14.424320522614378,14.424320522614378,0.0,0.0,0.0,54.72782552261438
2022-08-27,39.352768576923076,24.99686027445936,64.4940144673264,39.352768576923076,39.352768576923076,5.117304181029966,5.117304181029966,5.117304181029966,5.117304181029966,5.117304181029966,5.117304181029966,0.0,0.0,0.0,44.47007275795304
2022-08-29,37.451295732503205,11.44345452189792,51.87661621362233,37.451295732503205,37.451295732503205,-6.26784830981018,-6.26784830981018,-6.26784830981018,-6.26784830981018,-6.26784830981018,-6.26784830981018,0.0,0.0,0.0,31.183447422693025
2022-08-30,36.50055931092833,18.83639136032255,57.45689469638319,36.50055931092833,36.50055931092833,0.7191088733596794,0.7191088733596794,0.7191088733596794,0.7191088733596794,0.7191088733596794,0.7191088733596794,0.0,0.0,0.0,37.21966818428801
2022-08-31,35.54982288864607,7.9289904142376075,46.4690840455352,35.54982288864607,35.54982288864607,-8.087424098349368,-8.087424098349368,-8.087424098349368,-8.087424098349368,-8.087424098349368,-8.087424098349368,0.0,0.0,0.0,27.462398790296703
2022-09-01,34.5990864657713,14.348930392635255,55.889489755884604,34.5990864657713,34.5990864657713,0.7068561199907171,0.7068561199907171,0.7068561199907171,0.7068561199907171,0.7068561199907171,0.7068561199907171,0.0,0.0,0.0,35.30594258576202
2022-09-02,33.64835004250462,28.98395555335267,65.93641500033857,33.64835004250462,33.64835004250462,14.424320522608456,14.424320522608456,14.424320522608456,14.424320522608456,14.424320522608456,14.424320522608456,0.0,0.0,0.0,48.07267056511307
2022-09-03,32.69761361969315,18.88086810793188,57.73118522736412,32.69761361969315,32.69761361969315,5.117304181095837,5.117304181095837,5.117304181095837,5.117304181095837,5.117304181095837,5.117304181095837,0.0,0.0,0.0,37.81491780078899
2022-09-04,31.746877197626965,5.741536259206264,45.10958199154617,31.746877197626965,31.746877197626965,-6.612317288896109,-6.612317288896109,-6.612317288896109,-6.612317288896109,-6.612317288896109,-6.612317288896109,0.0,0.0,0.0,25.134559908730857
2022-09-05,30.79614077557334,6.260971958802941,43.53103166987568,30.79614077557334,30.79614077557334,-6.267848309803533,-6.267848309803533,-6.267848309803533,-6.267848309803533,-6.267848309803533,-6.267848309803533,0.0,0.0,0.0,24.528292465769805
2022-09-06,29.845404354196397,11.067701979391483,50.429434883089634,29.845404354196397,29.845404354196397,0.7191088733610168,0.7191088733610168,0.7191088733610168,0.7191088733610168,0.7191088733610168,0.7191088733610168,0.0,0.0,0.0,30.564513227557413
2022-09-07,28.89466793368137,0.36713774154397677,39.640779350054736,28.89466793368137,28.89466793368137,-8.08742409833934,-8.08742409833934,-8.08742409833934,-8.08742409833934,-8.08742409833934,-8.08742409833934,0.0,0.0,0.0,20.807243835342028
2022-09-08,27.943931513169996,10.474347668520645,48.54020224050593,27.943931513169996,27.943931513169996,0.7068561199348358,0.7068561199348358,0.7068561199348358,0.7068561199348358,0.7068561199348358,0.7068561199348358,0.0,0.0,0.0,28.650787633104834
2022-09-09,26.99319509270809,21.927889566216646,62.38820034799122,26.99319509270809,26.99319509270809,14.424320522627694,14.424320522627694,14.424320522627694,14.424320522627694,14.424320522627694,14.424320522627694,0.0,0.0,0.0,41.41751561533578
2022-09-10,26.042458671994027,10.82782126548497,50.443950135447686,26.042458671994027,26.042458671994027,5.117304181080649,5.117304181080649,5.117304181080649,5.117304181080649,5.117304181080649,5.117304181080649,0.0,0.0,0.0,31.159762853074675
2022-09-13,23.19024940707611,3.8270029642984014,43.64743103419768,23.19024940707611,23.19024940707611,0.7191088733623573,0.7191088733623573,0.7191088733623573,0.7191088733623573,0.7191088733623573,0.7191088733623573,0.0,0.0,0.0,23.909358280438468
2022-09-14,22.23951298570977,-4.094448865993265,33.98190820043337,22.23951298570977,22.23951298570977,-8.087424098337546,-8.087424098337546,-8.087424098337546,-8.087424098337546,-8.087424098337546,-8.087424098337546,0.0,0.0,0.0,14.152088887372223
2022-09-15,21.28877656320123,2.2978547880100706,42.78502774304965,21.28877656320123,21.28877656320123,0.706856119943768,0.706856119943768,0.706856119943768,0.706856119943768,0.706856119943768,0.706856119943768,0.0,0.0,0.0,21.995632683144997
2022-09-16,20.33804014133297,15.189874584637987,53.73584137997731,20.33804014133297,20.33804014133297,14.42432052262177,14.42432052262177,14.42432052262177,14.42432052262177,14.42432052262177,14.42432052262177,0.0,0.0,0.0,34.76236066395474
2022-09-17,19.387303719424356,4.497804538788746,44.40024418326873,19.387303719424356,19.387303719424356,5.11730418107567,5.11730418107567,5.11730418107567,5.11730418107567,5.11730418107567,5.11730418107567,0.0,0.0,0.0,24.504607900500027
2022-09-18,18.43656729751574,-7.130289965043075,32.65244458184831,18.43656729751574,18.43656729751574,-6.612317288878478,-6.612317288878478,-6.612317288878478,-6.612317288878478,-6.612317288878478,-6.612317288878478,0.0,0.0,0.0,11.824250008637263
2022-09-19,17.48583087560712,-8.90026910481892,31.539982928650506,17.48583087560712,17.48583087560712,-6.267848309826236,-6.267848309826236,-6.267848309826236,-6.267848309826236,-6.267848309826236,-6.267848309826236,0.0,0.0,0.0,11.217982565780886
2022-09-20,16.535094453698505,0.21509729608022776,35.75902523260534,16.535094453698505,16.535094453698505,0.7191088733530433,0.7191088733530433,0.7191088733530433,0.7191088733530433,0.7191088733530433,0.7191088733530433,0.0,0.0,0.0,17.25420332705155
2022-09-21,15.58435803178989,-11.248751288220813,26.588469924990797,15.58435803178989,15.58435803178989,-8.087424098337388,-8.087424098337388,-8.087424098337388,-8.087424098337388,-8.087424098337388,-8.087424098337388,0.0,0.0,0.0,7.496933933452501
2022-09-22,14.633621609881272,-5.112639335478692,35.81687385400588,14.633621592036029,14.633621627522507,0.7068561199651586,0.7068561199651586,0.7068561199651586,0.7068561199651586,0.7068561199651586,0.7068561199651586,0.0,0.0,0.0,15.34047772984643
2022-09-23,13.682885187972659,8.739717879189058,48.13837291722508,13.682885127458249,13.682885248233475,14.424320522628426,14.424320522628426,14.424320522628426,14.424320522628426,14.424320522628426,14.424320522628426,0.0,0.0,0.0,28.107205710601086
2022-09-24,12.732148766064041,-4.67664864695617,36.92759321351521,12.73214865503405,12.732148880571629,5.11730418107069,5.11730418107069,5.11730418107069,5.11730418107069,5.11730418107069,5.11730418107069,0.0,0.0,0.0,17.84945294713473
2022-09-25,11.781412344155427,-15.564099977918872,24.516521928293063,11.78141217263074,11.781412524994238,-6.612317288887243,-6.612317288887243,-6.612317288887243,-6.612317288887243,-6.612317288887243,-6.612317288887243,0.0,0.0,0.0,5.169095055268184
2022-09-26,10.83067592224681,-15.251290939382066,22.8552616850102,10.830675669583854,10.83067618223526,-6.267848309819859,-6.267848309819859,-6.267848309819859,-6.267848309819859,-6.267848309819859,-6.267848309819859,0.0,0.0,0.0,4.5628276124269505
2022-09-27,9.879939500338187,-8.594725905084477,29.136657374969193,9.879939173764207,9.879939854204608,0.7191088733543816,0.7191088733543816,0.7191088733543816,0.7191088733543816,0.7191088733543816,0.7191088733543816,0.0,0.0,0.0,10.599048373692568
2022-09-28,8.929203078429579,-18.08663783280783,19.07080955552235,8.929202670274691,8.929203511648735,-8.0874240983471,-8.0874240983471,-8.0874240983471,-8.0874240983471,-8.0874240983471,-8.0874240983471,0.0,0.0,0.0,0.8417789800824789
2022-09-29,7.978466656520957,-11.128012524090053,28.64438642502205,7.978466148907015,7.978467184882193,0.7068561199740913,0.7068561199740913,0.7068561199740913,0.7068561199740913,0.7068561199740913,0.7068561199740913,0.0,0.0,0.0,8.685322776495049
2022-09-30,7.0277302346123385,2.8063886733225334,40.654439581777936,7.02772962940363,7.0277308899832,14.42432052261419,14.42432052261419,14.42432052261419,14.42432052261419,14.42432052261419,14.42432052261419,0.0,0.0,0.0,21.45205075722653
2022-10-01,6.0769938127037255,-7.998270902531295,30.734745205837,6.076993119250416,6.076994578312398,5.117304181045292,5.117304181045292,5.117304181045292,5.117304181045292,5.117304181045292,5.117304181045292,0.0,0.0,0.0,11.194297993749018
2022-10-02,5.126257390795107,-21.033772567380353,18.595181034824112,5.126256598897356,5.126258291177882,-6.6123172888843715,-6.6123172888843715,-6.6123172888843715,-6.6123172888843715,-6.6123172888843715,-6.6123172888843715,0.0,0.0,0.0,-1.4860598980892643
2022-10-03,4.175520968886493,-22.35057146762102,17.25281011295473,4.175520069437502,4.1755219994350545,-6.267848309813211,-6.267848309813211,-6.267848309813211,-6.267848309813211,-6.267848309813211,-6.267848309813211,0.0,0.0,0.0,-2.092327340926718
