ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-08-26,58.496168000000004,17.124417159074156,113.76285519403001,58.496168000000004,58.496168000000004,4.853103667767324,4.853103667767324,4.853103667767324,4.853103667767324,4.853103667767324,4.853103667767324,0.0,0.0,0.0,63.349271667767326
2022-08-27,58.521748303076926,5.325245759204486,103.20814651449616,58.521748303076926,58.521748303076926,-5.068932213349787,-5.068932213349787,-5.068932213349787,-5.068932213349787,-5.068932213349787,-5.068932213349787,0.0,0.0,0.0,53.452816089727136
2022-08-28,58.54732860590318,13.906301732992384,113.84657919032175,58.54732860590318,58.54732860590318,7.245767279558023,7.245767279558023,7.245767279558023,7.245767279558023,7.245767279558023,7.245767279558023,0.0,0.0,0.0,65.7930958854612
2022-08-29,58.57290890847359,35.63514611438097,128.2260405754207,58.57290890847359,58.57290890847359,22.54712047147876,22.54712047147876,22.54712047147876,22.54712047147876,22.54712047147876,22.54712047147876,0.0,0.0,0.0,81.12002937995236
2022-08-30,58.598489210348454,6.9453846907456365,101.13632050042806,58.598489210348454,58.598489210348454,-3.7174858007861635,-3.7174858007861635,-3.7174858007861635,-3.7174858007861635,-3.7174858007861635,-3.7174858007861635,0.0,0.0,0.0,54.88100340956229
2022-08-31,58.62406951163241,-5.577935916565107,92.3047959912866,58.62406951163241,58.62406951163241,-15.670585804562428,-15.670585804562428,-15.670585804562428,-15.670585804562428,-15.670585804562428,-15.670585804562428,0.0,0.0,0.0,42.953483707069985
2022-09-01,58.64964981074875,3.23146817277755,97.41250274956444,58.64964981074875,58.64964981074875,-10.188987599997066,-10.188987599997066,-10.188987599997066,-10.188987599997066,-10.188987599997066,-10.188987599997066,0.0,0.0,0.0,48.46066221075168
2022-09-02,58.67523010910314,11.527231000028193,111.06003523786137,58.67523010910314,58.67523010910314,4.853103667780739,4.853103667780739,4.853103667780739,4.853103667780739,4.853103667780739,4.853103667780739,0.0,0.0,0.0,63.528333776883876
2022-09-03,58.700810408264324,3.8968521605114224,100.86778390478513,58.700810408264324,58.700810408264324,-5.068932213367559,-5.068932213367559,-5.068932213367559,-5.068932213367559,-5.068932213367559,-5.068932213367559,0.0,0.0,0.0,53.631878194896764
2022-09-04,58.72639070625562,14.504222549738572,115.36892544785245,58.72639070625562,58.72639070625562,7.245767279566942,7.245767279566942,7.245767279566942,7.245767279566942,7.245767279566942,7.245767279566942,0.0,0.0,0.0,65.97215798582256
2022-09-05,58.7519710044107,31.8918192383059,130.6998847780427,58.7519710044107,58.7519710044107,22.54712047145823,22.54712047145823,22.54712047145823,22.54712047145823,22.54712047145823,22.54712047145823,0.0,0.0,0.0,81.29909147586892
2022-09-06,58.777551303242355,6.938491778526009,102.47664727246926,58.777551303242355,58.777551303242355,-3.717485800797542,-3.717485800797542,-3.717485800797542,-3.717485800797542,-3.717485800797542,-3.717485800797542,0.0,0.0,0.0,55.060065502444814
2022-09-07,58.80313160210577,-8.887783965867628,91.53630966281149,58.80313160210577,58.80313160210577,-15.670585804560996,-15.670585804560996,-15.670585804560996,-15.670585804560996,-15.670585804560996,-15.670585804560996,0.0,0.0,0.0,43.13254579754478
2022-09-08,58.828711900429695,1.3500123130585349,100.59244212237095,58.828711900429695,58.828711900429695,-10.188987600056997,-10.188987600056997,-10.188987600056997,-10.188987600056997,-10.188987600056997,-10.188987600056997,0.0,0.0,0.0,48.6397243003727
2022-09-09,58.85429219868879,12.873398872871158,112.69403363441442,58.85429219868879,58.85429219868879,4.853103667752948,4.853103667752948,4.853103667752948,4.853103667752948,4.853103667752948,4.853103667752948,0.0,0.0,0.0,63.707395866441736
2022-09-10,58.879872497438406,5.201797807640316,102.94413557120248,58.879872497438406,58.879872497438406,-5.068932213362107,-5.068932213362107,-5.068932213362107,-5.068932213362107,-5.068932213362107,-5.068932213362107,0.0,0.0,0.0,53.810940284076295
2022-09-11,58.90545279557972,14.160156114957886,109.3381424195702,58.90545279557972,58.90545279557972,7.245767279603595,7.245767279603595,7.245767279603595,7.245767279603595,7.245767279603595,7.245767279603595,0.0,0.0,0.0,66.15122007518332
2022-09-12,58.931033093472514,34.22133086783349,131.53760687389516,58.931033093472514,58.931033093472514,22.54712047146084,22.54712047146084,22.54712047146084,22.54712047146084,22.54712047146084,22.54712047146084,0.0,0.0,0.0,81.47815356493335
2022-09-13,58.956613388567234,7.110495393853054,105.19235936934429,58.956613388567234,58.956613388567234,-3.7174858008089204,-3.7174858008089204,-3.7174858008089204,-3.7174858008089204,-3.7174858008089204,-3.7174858008089204,0.0,0.0,0.0,55.23912758775831
